Node,PFR,PDR,Drop Ratio,Avg E2ED (Delay),Throughput (Bytes/sec),Unique Neighbors,Node Type,Total Nodes
_0_,0.0,0.8962264150943396,0.0,-0.1502651044420756,1586.7841727017471,8,Normal Node,40
_10_,0.0,13.5,0.0,0.005791097444444445,22238.67012176913,13,Normal Node,40
_11_,0.0,18.5,0.0,0.005920417891891891,30875.013537056122,18,Normal Node,40
_12_,0.0,17.5,2.0,0.0030274912142857152,29928.605312028158,21,Attacker Node,40
_13_,0.0,14.5,1.5,0.001501600810344828,29216.39789497131,18,Attacker Node,40
_14_,0.0,9.0,1.5,0.005452244944444445,31398.54687961132,13,Attacker Node,40
_15_,0.0,11.5,1.0,0.013100857804347825,19287.32377962969,13,Attacker Node,40
_16_,0.16049382716049382,1.4594594594594594,0.036036036036036036,-0.9963323394992976,3174.9528698559666,19,Normal Node,40
_17_,0.0,16.0,2.5,0.0069633787812500006,31857.35876132626,21,Attacker Node,40
_18_,0.0,13.0,2.5,0.0012206408461538445,25724.252158404237,18,Attacker Node,40
_19_,0.0,10.0,0.5,0.0013923528000000006,37646.97171877132,12,Normal Node,40
_1_,0.0,9.5,0.5,0.007607817763157894,16049.130490676076,11,Normal Node,40
_20_,0.0,9.0,2.0,-0.013083240055555556,19178.16980584291,13,Attacker Node,40
_21_,0.1625,1.4414414414414414,0.036036036036036036,-0.9390144836146855,3165.1793953281317,18,Normal Node,40
_22_,0.0,17.5,1.5,0.005176165028571428,37704.654229933876,20,Attacker Node,40
_23_,0.0,14.5,1.5,0.009337311172413794,31001.60458905674,17,Attacker Node,40
_24_,0.0,8.0,2.0,-0.0008399585000000011,43843.02871295934,13,Attacker Node,40
_25_,0.0,10.5,1.5,0.014236694690476191,22064.20506788723,13,Attacker Node,40
_26_,0.0,14.5,1.0,0.005673164379310344,31001.60458905674,16,Attacker Node,40
_27_,0.0,18.5,0.5,0.01146526781081081,39939.00411022625,19,Normal Node,40
_28_,0.0,14.5,0.5,0.00788375427586207,39452.28733077169,16,Normal Node,40
_29_,0.0,9.0,1.0,-0.0015240035555555563,39516.85086762508,12,Attacker Node,40
_2_,0.0,11.5,0.5,0.007018371391304348,19503.672906852422,13,Normal Node,40
_30_,0.0,9.0,0.5,0.006963207333333336,24405.91948990681,10,Normal Node,40
_31_,0.0,11.0,2.0,0.006343486136363635,30092.735681729755,15,Attacker Node,40
_32_,0.16666666666666666,1.4054054054054055,0.05405405405405406,-0.8171329376944091,3145.0694145435327,19,Normal Node,40
_33_,0.0,10.0,2.0,0.0035789501499999985,44121.62759696543,15,Attacker Node,40
_34_,0.0,7.0,1.5,0.0022793012142857164,30442.00734981807,11,Attacker Node,40
_35_,0.0,6.5,0.0,-0.002476235884615383,25765.17779060444,7,Normal Node,40
_36_,0.0,7.5,1.5,-0.0013833302333333332,29860.755033456837,11,Attacker Node,40
_37_,0.0,8.0,2.0,0.004110349750000001,39309.4771963725,13,Attacker Node,40
_38_,0.0,8.0,1.0,0.0009050585624999995,39309.35196481424,11,Attacker Node,40
_39_,0.0,1.6428571428571428,0.017857142857142856,-1.5943030022061688,2891.9383776000604,9,Normal Node,40
_3_,0.0,9.0,0.5,-0.0005750031666666669,41902.150041026776,11,Normal Node,40
_4_,0.0,7.0,0.0,-0.005964208857142856,36065.85109182924,8,Normal Node,40
_5_,0.16774193548387098,1.3963963963963963,0.0,-0.7860066245876886,3144.3813093468134,11,Normal Node,40
_6_,0.0,14.0,0.5,0.005818113535714284,23462.074088012174,15,Normal Node,40
_7_,0.0,17.0,0.5,0.010038975794117649,28643.85145514544,18,Normal Node,40
_8_,0.0,12.0,1.0,0.007436040166666667,55869.37352488122,15,Attacker Node,40
_9_,0.0,8.0,1.0,-0.0004855284999999989,39423.03565998371,11,Attacker Node,40
