Node,PFR,PDR,Drop Ratio,Avg E2ED (Delay),Throughput (Bytes/sec),Unique Neighbors,Node Type,Total Nodes
_0_,0.0,0.8584905660377359,0.0,0.0538760425076595,1567.2738290258587,6,Normal Node,10
_1_,0.0,7.5,0.0,0.0059166324999999,45027.73805151984,8,Normal Node,10
_2_,0.0,9.0,0.0,-0.0031806025555555,53005.68955609729,10,Normal Node,10
_3_,0.0,7.0,0.0,-0.0040743981428571,48182.527612705184,8,Normal Node,10
_4_,0.0,5.0,0.0,-0.000947325,40265.48866929149,6,Normal Node,10
_5_,0.0,5.5,0.0,0.0059553455454545,32676.862877076845,6,Normal Node,10
_6_,0.0,7.5,0.0,0.0013985098666666,45028.53747889207,8,Normal Node,10
_7_,0.1721854304635761,1.3603603603603605,0.0,-0.6524401909230768,3124.9916932706906,10,Normal Node,10
_8_,0.0,7.0,0.0,0.0050918816428571,48183.32474241934,8,Normal Node,10
_9_,0.0,1.6071428571428572,0.0,-1.4625625856964284,2882.950089470713,7,Normal Node,10
_0_,0.0,0.8773584905660378,0.0094339622641509,-0.0490212817721257,1577.033707566757,8,Normal Node,15
_10_,0.0,7.5,0.0,-0.0036172690666666,37293.99463328761,8,Normal Node,15
_11_,0.0,9.5,0.0,-0.0053569733157894,49842.5183167064,10,Normal Node,15
_12_,0.0,10.0,1.0,0.00585293615,53119.86844749101,13,Attacker Node,15
_13_,0.0,10.0,0.0,0.0011660092999999,62487.332730919225,11,Normal Node,15
_14_,0.0,1.6785714285714286,0.0,-1.7168481350784162,2902.219538003727,9,Normal Node,15
_1_,0.0,8.5,1.0,0.0069497154411764,42407.09263951921,11,Attacker Node,15
_2_,0.0,12.5,0.0,0.00302552138,62865.63961259849,13,Normal Node,15
_3_,0.0,10.0,0.0,0.0039144472,60856.244717248,11,Normal Node,15
_4_,0.0,7.0,0.0,0.0014686185714285,46201.13371149059,8,Normal Node,15
_5_,0.0,8.5,0.0,0.0087373255882352,42407.53319748005,9,Normal Node,15
_6_,0.0,9.5,1.0,-0.0010471832368421,47522.70834259014,12,Attacker Node,15
_7_,0.1635220125786163,1.4324324324324325,0.0,-0.9089767147356004,3163.923316582389,14,Normal Node,15
_8_,0.0,11.0,0.0,-0.0025205655454545,62866.38541796866,12,Normal Node,15
_9_,0.0,8.0,0.0,0.0009374776875,53219.02743981828,9,Normal Node,15
_0_,0.0,1.0092592592592593,0.0,-0.5118104692187103,1655.0992745873623,8,Normal Node,20
_10_,0.0,10.25,0.0,0.0219472514512195,963.9750732653346,11,Normal Node,20
_11_,0.0,14.5,0.0,0.0330615329568965,1357.8788818246862,15,Normal Node,20
_12_,0.0,16.75,0.0,0.0482818279179104,1562.8804824425454,18,Normal Node,20
_13_,0.1413043478260869,1.6283185840707963,0.0353982300884955,-1.224458105753456,3283.025394481209,16,Normal Node,20
_14_,0.0,9.5,0.0,0.0026898040526315,864.6282915876021,11,Normal Node,20
_15_,0.0,7.0,0.0,0.002174802,670.3424255148416,8,Normal Node,20
_16_,0.0,10.5,0.0,0.0520211564285714,978.5333343543226,11,Normal Node,20
_17_,0.0,11.25,0.5,0.1110353783555555,1041.123516246539,13,Normal Node,20
_18_,0.0,9.0,0.25,0.0519803484166667,817.034073702046,11,Normal Node,20
_19_,0.0,1.7966101694915255,0.0,-1.7354321467521916,2959.4393440160406,9,Normal Node,20
_1_,0.0,10.25,0.0,0.0276756452865855,963.9750446437356,11,Normal Node,20
_2_,0.0,12.0,0.25,0.0908062676250001,1120.349081533889,13,Normal Node,20
_3_,0.0,10.5,0.0,0.0479853743095237,979.0951220323548,11,Normal Node,20
_4_,0.0,7.5,0.0,0.0636544906166666,694.0823441643595,8,Normal Node,20
_5_,0.0,10.25,0.0,0.0282000036097561,963.9749516235504,11,Normal Node,20
_6_,0.0,14.0,0.25,0.0057450776428572,1310.3728269253704,15,Normal Node,20
_7_,0.1293532338308457,1.7787610619469028,0.0088495575221238,-1.5075118921854374,3368.836808237201,18,Normal Node,20
_8_,0.0,12.75,0.75,0.0629675700098039,1183.2385641743103,15,Attacker Node,20
_9_,0.0,9.75,0.25,0.0748017678461537,898.340862589871,11,Normal Node,20
